WBL_NUM,WBL_CNTR_UUID,CNTR_TYPE,IS_EMPTY,SOC,TRANS_TYPE,LEG_TYPE,IS_MAIN,POL_CDE,POL_NME,LDD_SVVD,POD_CDE,POD_NME,WBL_AUD_DT,MAIN_SVVD_SAILING_DATE,CGO_BRIEF_DESC_CDE,BKG_MTHD,CGO_BRIEF_DESC_CNNME,AMT
Q012117070,9383f9388d244a79aa07bdf76903eb93,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 13:32,2019/7/23 11:17,CT2100600035,TF,非油料用花生仁,1842.75
Q012118240,9dae47dae1bc440d96bbb85391b7be94,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 13:32,2019/7/23 11:17,CT1100300001,TF,大米,1842.75
Q012118240,77296b5848ec42a28e2efc31e3f4f3f4,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 13:32,2019/7/23 11:17,CT1100300001,TF,大米,1842.75
Q012118660,c9df8f4da8754232a4ef812406dddaa6,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAC-183 S,QZH,钦州,2019/7/18 14:08,2019/7/21 8:47,CT1100300001,TF,大米,2359.35
Q012118740,b9c827a41db84da482ad8a68d84e3107,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 13:32,2019/7/23 11:17,CT1100300001,TF,大米,1842.75
Q012118790,59dc4e2c45af425d97bb1ad3f18b5f08,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAC-183 S,QZH,钦州,2019/7/18 14:08,2019/7/21 8:47,CT1100800031,TF,芽豆,2359.35
Q012118840,117932428f9a4404861a65d079b7aa13,40GP,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-Q2P-097 S,NSH,南沙,2019/7/18 13:40,2019/7/21 16:08,CT1500300133,TF,ABS塑料（ABS树脂）,2700.6
Q012118840,b99afaf1d9734c6f9a0f235f4f592bc6,40GP,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-Q2P-097 S,NSH,南沙,2019/7/18 13:40,2019/7/21 16:08,CT1500300133,TF,ABS塑料（ABS树脂）,2700.6
Q012119500,a55d48269ead435eb468da677c0eec41,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-QPE-292 S,NSH,南沙,2019/7/18 14:00,2019/7/24 11:06,CT1500400124,TF,氧化镁,1842.75
Q012119500,1744480f4cb84cfda795600ac19f88da,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-QPE-292 S,NSH,南沙,2019/7/18 14:00,2019/7/24 11:06,CT1500400124,TF,氧化镁,1842.75
